afore_nombre,enero,febrero,concepto
Coppel,5714177.89423,5825798.21065,Activos
Coppel,2240791.50694,2294806.91254,Activo a Corto Plazo
Coppel,1053603.3115,990280.60895,Efectivo y equivalentes de efectivo
Coppel,0,0,Caja
Coppel,738458.98339,677673.78186,Bancos
Coppel,315144.32811,312606.82709,Inversiones del disponible a la vista
Coppel,1129003.06683,1254156.32795,Inversiones en valores
Coppel,1129003.06683,1254156.32795,Inversiones en instrumentos financieros
Coppel,0,0,Inversiones de reserva para pensiones del personal y prima de antigüedad
Coppel,58185.12861,50369.97564,Cuentas por Cobrar
Coppel,0,0,Deudores Diversos con Partes Relacionadas a Corto Plazo
Coppel,36841.28534,27985.99095,Comisiones por Cobrar
Coppel,12304.51129,13444.37128,Deudores Diversos
Coppel,652.4311,926.71253,Adeudos de Funcionarios y Empleados
Coppel,0,0,Impuestos por Recuperar y/o Acreditar
Coppel,8386.90088,8012.90088,Pagos anticipados a corto plazo
Coppel,3473386.38729,3530991.29811,Activo a largo plazo e intangibles
Coppel,3429091.57512,3481977.56008,Inversiones permanentes en acciones
Coppel,3420767.57796,3473617.4278,Inversiones en la reserva especial
Coppel,2336.51987,2372.65499,Inversiones en capital social mínimo de SIEFORES
Coppel,5987.47729,5987.47729,Inversiones permanentes
Coppel,0,0,Crédito mercantil (neto)
Coppel,0,0,Instrumentos financieros a largo plazo
Coppel,11429.08792,10850.48109,"Propiedades, Mobiliario y Equipo (Neto)"
Coppel,63587.5358,63587.5358,"Propiedades, Mobiliario y Equipo"
Coppel,52158.44788,52737.05471,Depreciación acumulada
Coppel,37138.62513,42436.15782,Otros activos
Coppel,37087.32513,42384.85782,Pagos anticipados a largo plazo
Coppel,0,0,Partes relacionadas largo plazo
Coppel,51.3,51.3,Depositos en Garantía
Coppel,0,0,Impuestos Diferidos
Coppel,-4272.90088,-4272.90088,Activos intangibles (neto)
Coppel,1421843.27135,1414871.03479,Pasivo
Coppel,1005100.06994,986581.50034,Pasivo a corto plazo
Coppel,847138.07251,801591.27848,Cuenta por Pagar y Otros Gastos Acumulados
Coppel,760336.74987,704806.44839,Acreedores diversos
Coppel,0,0,Dividendos por pagar
Coppel,0,0,Multas y sanciones por pagar
Coppel,0,0,Créditos o prestamos autorizados
Coppel,0,0,Intereses por pagar de créditos o prestamos
Coppel,79371.90658,89773.85221,Provisiones para obligaciones diversas
Coppel,0,0,Comisiones por pagar
Coppel,0,0,Depósitos recibidos en garantía
Coppel,7429.41606,7010.97788,Rentas por pagar a terceros
Coppel,36646.08903,43369.00143,Partes relacionadas
Coppel,16330.17046,32963.78591,Impuestos y contribuciones por pagar
Coppel,104985.73794,108657.43452,Impuestos a la utilidad por pagar
Coppel,416743.20141,428289.53445,Pasivo a largo plazo
Coppel,379792.11509,386802.72243,Impuestos diferidos
Coppel,0,0,Participación de los trabajadores en las utilidades diferida
Coppel,36951.08632,41486.81202,Beneficio a los empleados
Coppel,3276.80228,6580.17398,Participación de los trabajadores en las utilidades
Coppel,20516.642,21330.29,Reserva para pensiones del personal
Coppel,13157.64204,13576.34804,Reserva para primas de antigüedad y beneficios por terminación
Coppel,4292334.62288,4410927.17586,Capital Contable
Coppel,281209.49057,281209.49057,Capital Contribuido
Coppel,281209.49057,281209.49057,Capital social pagado
Coppel,0,0,Aportaciones para futuros aumentos de capital
Coppel,0,0,Prima en venta de acciones
Coppel,4011125.13231,4129717.68529,Capital Ganado
Coppel,53400,53400,Reserva legal
Coppel,3797145.79988,3793133.59829,Resultados de ejercicios anteriores
Coppel,160565.88586,283168.08443,Resultados del ejercicio
Coppel,13.44657,16.00257,Otros Resultados Integrales
Coppel,0,0,Otras Cuentas de Capital no sujetas a distribución
